feature,importance_mean,importance_std
Contract,0.09096446986844324,0.013911913730375718
InternetService,0.03221026574669365,0.008686801179856747
tenure,0.01737989712527009,0.002722440917651407
TenureGroup,0.014578667362448644,0.004551679819658137
TotalCharges,0.01407259509453719,0.0028447506184838905
AverageMonthlySpend,0.011449191849925086,0.004963246908172437
PaperlessBilling,0.010123861817378288,0.00300122190813584
PaymentMethod,0.005150884624093091,0.0042992690337960646
Partner,0.0044395367727253915,0.001904346890586174
MonthlyCharges,0.003604809217805968,0.0036600154472698093
ServiceCount,0.002980930609217669,0.001305977845032309
DeviceProtection,0.002357979166951768,0.002425684456845323
HasSecuritySupport,0.0022311841820243095,0.003674630534475678
StreamingMovies,0.00206773200844583,0.003033264809311175
StreamingTV,0.0009975710650348552,0.0019468330841499028
Dependents,0.0009893816951323936,0.004227980633131886
MultipleLines,0.0005677503843638382,0.00258855972206989
PhoneService,0.0,0.0
SeniorCitizen,-0.0005388812859373066,0.0017935540867482776
gender,-0.000904925708177004,0.0019615727026937265
OnlineBackup,-0.001986781568624224,0.004937628078091501
TechSupport,-0.002253065690998493,0.00222019433351608
OnlineSecurity,-0.003233575571975192,0.003468103002183942
